ID_FOR;FANTASIA;CNPJ;RESPONSAVEL;INS_MUNICIPAL;INS_ESTADUAL;ENDERECO;BAIRRO;UF;TELEFONE;FAX;EMAIL;CELULAR
27;AR PONTOCOM COMERCIAL LTDA;00.187.954/0001-55;;;116515317110; DR MARIO DE ASSIS MOURA JR, 41;TATUAPÉ;;;;;
6;PANIFICAÇÃO FARIAS E GUIMARÃES LTDA;00.200.953/0001-01;;;27.087.949-8; JOSÉ FONTES DE GÓES, 119;CENTRO;;;;;
8;SANFARMA DISTRIBUIDORA E REPRESENTAÇÕES LTDA;00.895.119/0001-70;;;27.090.440-9; DEP. MATOS TELES, 501;LUZIA;;;;;
274;EDUARDO FARIA DE SANTANA;00022588540;;;;;ZONA RURAL;;;;;
125;LOGIN INFORMÁTICA COM. E REP. LTDA;00066716000272;;;27.089.491-8;AV: GONÇALO ROLEMBERG LEITE Nº 2178;PEREIRA LOBO;SE;7921067944;;;
52;PAULO COMERCIO E REPRESENTAÇÕES LTDA;00083042000133;;;270867589;AV. DESENBARCADOR MAYNARD 520;CIRUGIA;SE;;;;
106;LOJAO DOS COSMETICOS;00156225000131;;;27087402-0;PÇA JOAO XXIII;CENTRO;SE;7932143534;;;
80;GILMAR SOUZA ANDRADE;00293657000194;;;270882316;AV. CONTORNO;;;;;;
119;MARIA LEDA SILVEIRA SIMOES;00297220000129;;;270881034;RUA BENJAMIN CONSTANT - UMBAUBA;CENTRO;SE;;;;
120;DENTAL - MED COM. REPRESENTAÇOES;00304491000164;;;270880613;RUA MARUIM 443;CENTRO;SE;7932113825;;;
108;ELETRONICA NACIONAL LTDA;00416077000147;;;27088861-6;RUA CARLOS CORREIA, 569;SIQUEIRA CAMPOS ;;;;;
91;EIFFEL VEICULOS LTDA;00474492000157;;;27089152-8;RUA RAFAEL AGUIAR;CIRURGIA;SE;7921069600;;;
176;CELENA ANDRADE AVILA SANTANA;00497935000125;CREUSMAR;;;PRACA JOSE FONTES GOES 135;CENTRO;;;;;
96;MAM DISTRIBUIDORA DE ALIMENTOS LTDA;00502202000131;EDMILSON;;27120851-1;AV. DR ADEL NUNES 343;FAROLANDIA;;;;;
135;COMERCIO E MAN. BASICA EM VEICULO AUT. LTDA-ME;00607175000161;;;270891960;RUA FILADELFO ARAUJO 1296 - ITABAIANA;EUCALIPTO;SE;;;;
123;J & M CONFECÇÕES E SILK SCREEN;00773352000180;;;27.119.234-8;RUA LARANJEIRAS Nº 1342;CENTRO;SE;7930421775;;;
115;RURAL PRODUTOS AGROPECUARIOS;00974454000678;;;271218037;AV CHANCELER OSVALDO ARANHA 3122 A;OLARIA;SE;;;;
43;SOUZA PINTO E FILHO LTDA;01.655.446/0002-06;;;270934430; SAO CRISTOVAO, 187;CENTRO;;;;;
30;SERBATE SERGIPE BATERIA LTDA;01.675.822/0001-35;;;27.093.505-3; GUANABARA , 28;AMERICA;;;;;
207;LOCMAQ COM E SERV. DE MAQ E EQUIP;01139388000179;;;;RUA ZAQUEL BRANDAO;SAO JOSE;SE;;;;
71;TOYONG COM. VAR. DE PEÇAS E SERV. LTDA;01202344000146;;;271115831;AV. CHANCELER OSVALDO ARANHA;SAO JOSE;SE;;;;
132;CLEITON ARMARINHO;01577860000155;;;27.093.130-9;AV LUIZ ALVES DE OLIVEIRA FILHO;CENTRO;SE;7935412020;;;
50;MADEIREIRA SANTA LUZIA;01655376000105;YLMARA CRISTINA M. BISPO;;27.093.472-3;POV.COLONIA TREZE, 387;ZONA RURAL;SE;7936421213;;;
57;SERGIPE BATERIAS LTDA ;01675822000135;;;270935053;AV. GUANABARA, 28;AMERICA;SE;;;;
208;BOLO BOM INDUSTRIA E COMERCIO;01813345000127;;;;AVENIDA ZACARIAS JUNIOR, 335;CENTRO;SE;;;;
36;MM FARMA COMERCIAL LTDA;02.350.721/0001-57;;;270961640; NOSSA SENHORA DAS DORES, 370;CIRURGIA;;;;;
1;MANOEL DOS SANTOS ALVES;02.390.323/0001-64;;;127.096.200-0; PAULO BARRETO DE MENEZES, 88;CENTRO;;;;;
5;ANDRÉ SANTANA GUIMARÃES;02.399.554/0001-39;;;27.096.974-8; OTAVIANO OLIVEIRA SOUZA , 35;CENTRO;;;;;
26;MARTA MARIA DORIA MONTEIRO- ME;02.696.440/0001-50;;;27.109.563--6; TERENCIO SAMPAIO, 91;GERU;;;;;
2;RENOVEL VEÍCULOS LTDA;02.814.097/0001-00;;  ;27.097.484-9; ENG. GENTIL TAVARES DA MOTA, 720;GETÚLIO VARGAS ;;;;;
41;CLEAN ESSENCIAS COMERCIAL LTDA;02.884.150/0001-30;;;270994971; JOAO XXIII, 48;CENTRO;;;;;
283;PAULO ALVES DE ARAUJO;02232774520;PAULO;;;PÇA HERIBALDO ALVES DE GOES;CENTRO;;;;;
105;EQUIMED PROD.  EQUIP. MED. HOSP. OD. LTDA;02350719000188;;;27096026-0;RUA SENHOR DOS PASSOS, 602;PONTO NOVO;SE;7932310290;;;
184;L&L PARAFUSOS E FERRAGENS LTDA.;02381851000157;;;;RUA BAHIA - 664; SIQUIRA CAMPOS;SE;;;;
287;JOSE FRANCISCO SALES NASCIMENTO;02390136540;;;;POVOADO BELA VISTA;CENTRO;;;;;
64;REAL ALIMENTOS IND. COM. LTDA;02403172000131;MEIRE;;270963855;AV DESENB MAYNARD;CIRURGIA;SE;7932144782;;;
244;TRATORMASTER;02745179000212;;;;AV TIRADENTES . 659;ARACAJU - AMERICA;SE;;;;
294;R B DANTAS& CIA LTDA;02895028000917;;;271370742;RUA PEDRO F. DAS VIRGENS- UMBAUBA;CENTRO UMBAUBA;;;;;
133;VIASPORT LTDA;02987324000190;;;270981454;PÇA OLIMPIO CAMPOS, 26;CENTRO;SE;;;;
15;REPRESENTAÇÕES UNIVERSAL LTDA;03.354.611/0001-26;;;27.099.419-0; SETE DE SETEMBRO, 433;CENTRO;;;;;
33;GRAFICA E EDITORA BOQUINENSE;03.404.013/0001-14;;5400314;27.100.003-1; SIMPLICIANO DA F. FONSECA , 521;CENTRO;;;;;
39;COMERCIAL LIVROS E PAPEIS LTDA;03.471.245/0001-95;;;270998047; ITABAIANINHA, 199;CENTRO;;;;;
12;"NORDESTE REFRIGERAÇÃO LTDA
";03.731.620/0001-99;;;27.100.665-0; SÃO CRISTOVÃO, 1312;CENTRO;;;;;
16;NORDESTYLUS INDUSTRIA E COMERCIO DE MOVEIS LTDA;03.810.869/0001-90;;;27.101.871-2; GUTEMBERG CHAGAS , 280;INACIO BARBOSA;;;;;
103;DATAPEL COMERCIAL LTDA;03137082000109;;;27098497-6;AV. PROF ANISIO CRUZ, 360;SALGADO FILHO;SE;;;;
175;GAMA DISTRIBUIDORA LOG. ALIMENTO LTDA.;03389294000183;EVERALDO;;;RUA: MAMOEL DANTAS 435;JOSE CONRADO ARAUJO;;;;;
168;INFRANET TECNOLOGIA EM COMUNICAÇÃO LTDA;03553543000124;;;271086106;AV DESEMBARGADOR MAYNARD, 43;SUIÇA;;;;;
137;FLEX HOSPITALAR LTDA;03606635000125;;;271002182;RUA GARARU 1326;SUISSA;SE;7921054000;;;
178;ARACAJU GÁS;03693271000168;;;;RUA ROBERTO MORAIS;SANTOS DUMONT;;;;;
141;O MERCADÃO COMERCIO PRESTAÇÃO DE SERVIÇOS LTDA;03823107000128;;;27.101.039-8;AV GENTIL TAVARES DA MOTA Nº 51;SANTO ANTÔNIO;SE;7932150488;;;
56;LISCAR MOTOS LTDA;03835664000169;;;27.101.357-5;RUA BASÍLIO ROCHA Nº 182;GETÚLIO VARGAS;SE;7932143656;;;
54;SUPRAGAS DISTRIBUIDORA LTDA;03961814000180;;;271016450;PRAÇA GENERAL OSORIO Nº 12;CENTRO;SE;;;;
38;MAX MED COM. SERV. MED. ODONT.LTDA;04.129.977/0001-64;;;271117877; MARUIM, 386;CENTRO;;;;;
4;CARVALHO INFORMÁTICA LTDA;04.235.292/0001-00;;;27.102.267-1; MARUIM, 536;CENTRO;;;;;
